Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
Which of the following instrument discrepancies could be corrected by an aviation mechanic?,Which of the following instrument discrepancies could be corrected by an aviation mechanic?,"Case paint chipped, leaking at line B nut, mounting screws loose, or case leaking.","Red line missing, case leaking, glass cracked, or fogged.","Red line missing, mounting screws loose, case paint chipped, or leaking at line B nut.",C
The working voltage of a capacitor in an AC circuit should be,The working voltage of a capacitor in an AC circuit should be,equal to the highest applied voltage.,at least 20 percent greater than the highest applied voltage.,at least 50 percent greater than the highest applied voltage.,C
The term that describes the combined resistive forces in an AC circuit is,The term that describes the combined resistive forces in an AC circuit is,resistance.,reactance.,impedance.,C
The basis for transformer operation in the use of alternating current is mutual,The basis for transformer operation in the use of alternating current is mutual,inductance.,capacitance.,reactance.,A
The opposition offered by a coil to the flow of alternating current (ignoring resistance) is called,The opposition offered by a coil to the flow of alternating current (ignoring resistance) is called,impedance.,reluctance.,inductive reactance.,C
An increase in which of the following factors will cause an increase in the inductive reactance of a circuit?,An increase in which of the following factors will cause an increase in the inductive reactance of a circuit?,Inductance and frequency.,Resistance and voltage.,Resistance and capacitive reactance.,A
"(Refer to Figure 1.) When different rated capacitors are connected in series in a circuit, the total capacitance is","(Refer to Figure 1.) When different rated capacitors are connected in series in a circuit, the total capacitance is",less than the capacitance of the lowest rated capacitor.,greater than the capacitance of the highest rated capacitor.,equal to the sum of all the capacitances.,A
Capacitors are sometimes used in DC circuits to,Capacitors are sometimes used in DC circuits to,counteract inductive reactance at specific locations.,smooth out slight pulsations in current/voltage.,assist in stepping voltage and current up and/or down.,B
"In an AC circuit, the effective voltage is","In an AC circuit, the effective voltage is",equal to the maximum instantaneous voltage.,greater than the maximum instantaneous voltage.,less than the maximum instantaneous voltage.,C
The amount of electricity a capacitor can store is directly proportional to the,The amount of electricity a capacitor can store is directly proportional to the,distance between the plates and inversely proportional to the plate area.,plate area and is not affected by the distance between the plates.,plate area and inversely proportional to the distance between the plates.,C
"(Refer to Figure 2.) What is the total capacitance of a circuit containing three capacitors with capacitances of .02 microfarad, .05 microfarad, and .10 microfarad, respectively?","(Refer to Figure 2.) What is the total capacitance of a circuit containing three capacitors with capacitances of .02 microfarad, .05 microfarad, and .10 microfarad, respectively?",.170 uF.,0.125 pF.,.0125 uF.,C
"Unless otherwise specified, any values given for current or voltage in an AC circuit are assumed to be","Unless otherwise specified, any values given for current or voltage in an AC circuit are assumed to be",instantaneous values.,effective values.,maximum values.,B
"When different rated capacitors are connected in parallel in a circuit, the total capacitance is|(Note: C(T) = C(1) + C(2) + C(3) . . .)","When different rated capacitors are connected in parallel in a circuit, the total capacitance is|(Note: C(T) = C(1) + C(2) + C(3) . . .)",less than the capacitance of the lowest rated capacitor.,equal to the capacitance of the highest rated capacitor.,equal to the sum of all the capacitances.,C
"When inductors are connected in series in a circuit, the total inductance (where the magnetic fields of each inductor do not affect the others) is|(Note: L(T) = L(1) + L(2) + L(3) . . .)","When inductors are connected in series in a circuit, the total inductance (where the magnetic fields of each inductor do not affect the others) is|(Note: L(T) = L(1) + L(2) + L(3) . . .)",less than the inductance of the lowest rated inductor.,equal to the inductance of the highest rated inductor.,equal to the sum of the individual inductances.,C
"(Refer to Figure 3.) When more than two inductors of different inductances are connected in parallel in a circuit, the total inductance is","(Refer to Figure 3.) When more than two inductors of different inductances are connected in parallel in a circuit, the total inductance is",less than the inductance of the lowest rated inductor.,equal to the inductance of the highest rated inductor.,equal to the sum of the individual inductances.,A
"What is the total capacitance of a certain circuit containing three capacitors with capacitances of .25 microfarad, .03 microfarad, and .12 microfarad, respectively?|(Note: C(T) = C(1) + C(2) + C(3))","What is the total capacitance of a certain circuit containing three capacitors with capacitances of .25 microfarad, .03 microfarad, and .12 microfarad, respectively?|(Note: C(T) = C(1) + C(2) + C(3))",.4 uF.,.04 pF.,.04 uF.,A
Which requires the most electrical power during operation?|(Note: 1 horsepower = 746 watts),Which requires the most electrical power during operation?|(Note: 1 horsepower = 746 watts),A 12-volt motor requiring 8 amperes.,Four 30-watt lamps in a 12-volt parallel circuit.,Two lights requiring 3 amperes each in a 24-volt parallel system.,C
How much power must a 24-volt generator furnish to a system which contains the following loads?|UNIT                                   RATING|One motor (75 percent efficient)       1/5 hp|Three position lights           20 watts each|One heating element                     5 amp|One anticollision light                 3 amp|(Note: 1 horsepower = 746 watts),How much power must a 24-volt generator furnish to a system which contains the following loads?|UNIT                                   RATING|One motor (75 percent efficient)       1/5 hp|Three position lights           20 watts each|One heating element                     5 amp|One anticollision light                 3 amp|(Note: 1 horsepower = 746 watts),402 watts.,385 watts.,450 watts.,C
"A 12-volt electric motor has 1,000 watts input and 1 horsepower output. Maintaining the same efficiency, how much input power will a 24-volt, 1-horsepower electric motor require?|(Note: 1 horsepower = 746 watts)","A 12-volt electric motor has 1,000 watts input and 1 horsepower output. Maintaining the same efficiency, how much input power will a 24-volt, 1-horsepower electric motor require?|(Note: 1 horsepower = 746 watts)","1,000 watts.","2,000 watts.",500 watts.,A
"How many amperes will a 28-volt generator be required to supply to a circuit containing five lamps in parallel, three of which have a resistance of 6 ohms each and two of which have a resistance of 5 ohms each?","How many amperes will a 28-volt generator be required to supply to a circuit containing five lamps in parallel, three of which have a resistance of 6 ohms each and two of which have a resistance of 5 ohms each?",1.11 amperes.,1 ampere.,25.23 amperes.,C
"A 24-volt, 1-horsepower DC electric motor that is 80 percent efficient requires 932.5 watts. How much power will a 12-volt, 1-horsepower DC electric motor that is 75 percent efficient require?|(Note: 1 horsepower = 746 watts)","A 24-volt, 1-horsepower DC electric motor that is 80 percent efficient requires 932.5 watts. How much power will a 12-volt, 1-horsepower DC electric motor that is 75 percent efficient require?|(Note: 1 horsepower = 746 watts)",932.5 watts.,"1,305.5 watts.",994.6 watts.,C
The potential difference between two conductors which are insulated from each other is measured in,The potential difference between two conductors which are insulated from each other is measured in,volts.,amperes.,coulombs.,A
A 24-volt source is required to furnish 48 watts to a parallel circuit consisting of four resistors of equal value. What is the voltage drop across each resistor?,A 24-volt source is required to furnish 48 watts to a parallel circuit consisting of four resistors of equal value. What is the voltage drop across each resistor?,12 volts.,6 volts.,24 volts.,C
"When calculating power in a reactive or inductive AC circuit, the true power is","When calculating power in a reactive or inductive AC circuit, the true power is",more than the apparent power.,less than the apparent power in a reactive circuit and more than the apparent power in an inductive circuit.,less than the apparent power.,C
(Refer to Figure 4.) How much power is being furnished to the circuit?,(Refer to Figure 4.) How much power is being furnished to the circuit?,575 watts.,"2,875 watts.","2,645 watts.",C
"(Refer to Figure 5.) What is the impedance of an ac-series circuit consisting of an inductor with a reactance of 10 ohms, a capacitor with a reactance of 4 ohms, and a resistor with a resistance of 8 ohms?","(Refer to Figure 5.) What is the impedance of an ac-series circuit consisting of an inductor with a reactance of 10 ohms, a capacitor with a reactance of 4 ohms, and a resistor with a resistance of 8 ohms?",22 ohms.,5.29 ohms.,10 ohms.,C
"(Refer to Figure 6.) If resistor R(5) is disconnected at the junction of R(4) and R(3) as shown, what will the ohmmeter read?","(Refer to Figure 6.) When resistor R(5) is disconnected at the junction of R(4) and R(3) as shown, what will the ohmmeter read?",2.76 ohms.,3 ohms.,12 ohms.,B
"(Refer to Figure 7.) If resistor R(3) is disconnected at terminal D, what will the ohmmeter read?","(Refer to Figure 7.) When resistor R(3) is disconnected at terminal D, what will the ohmmeter read?",Infinite resistance.,10 ohms.,20 ohms.,A
"(Refer to Figure 8.) With an ohmmeter connected into the circuit as shown, what will the ohmmeter read?","(Refer to Figure 8.) With an ohmmeter connected into the circuit as shown, what will the ohmmeter read?",20 ohms.,Infinite resistance.,10 ohms.,C
(Refer to Figure 9.) How many instruments (voltmeters and ammeters) are installed correctly?,(Refer to Figure 9.) How many instruments (voltmeters and ammeters) are installed correctly?,Three.,One.,Two.,C
The correct way to connect a test voltmeter in a circuit is,The correct way to connect a test voltmeter in a circuit is,in series with a unit.,between the source voltage and the load.,in parallel with a unit.,C
Which term means .001 ampere?,Which term means .001 ampere?,Microampere.,Kiloampere.,Milliampere.,C
"A cabin entry light of 10 watts and a dome light of 20 watts are connected in parallel to a 30-volt source. If the voltage across the 10-watt light is measured, it will be","A cabin entry light of 10 watts and a dome light of 20 watts are connected in parallel to a 30-volt source. When the voltage across the 10-watt light is measured, it will be",equal to the voltage across the 20-watt light.,half the voltage across the 20-watt light.,one-third of the input voltage.,A
A 14-ohm resistor is to be installed in a series circuit carrying .05 ampere. How much power will the resistor be required to dissipate?,A 14-ohm resistor is to be installed in a series circuit carrying .05 ampere. How much power will the resistor be required to dissipate?,At least .70 milliwatt.,At least 35 milliwatts.,Less than .035 watt.,B
.002 kV equals,.002 kV equals,20 volts.,2.0 volts.,.2 volt.,B
(Refer to Figure 10.) What is the measured voltage of the series-parallel circuit between terminals A and B?,(Refer to Figure 10.) What is the measured voltage of the series-parallel circuit between terminals A and B?,1.5 volts.,3.0 volts.,4.5 volts.,B
(Refer to Figure 64.) A 24-volt source is required to furnish 48 watts to a parallel circuit consisting of two resistors of equal value. What is the value of each resistor?|(Note: R(t) = E^2/P),(Refer to Figure 64.) A 24-volt source is required to furnish 48 watts to a parallel circuit consisting of two resistors of equal value. What is the value of each resistor?|(Note: R(t) = E^2/P),24 ohms.,12 ohms.,6 ohms.,A
Which requires the most electrical power?|(Note: 1 horsepower = 746 watts),Which requires the most electrical power?|(Note: 1 horsepower = 746 watts),"A 1/5-horsepower, 24-volt motor which is 75 percent efficient.",Four 30-watt lamps arranged in a 12-volt parallel circuit.,A 24-volt anticollision light circuit consisting of two light assemblies which require 3 amperes each during operation.,A
What unit is used to express electrical power?,What unit is used to express electrical power?,Volt.,Watt.,Ampere.,B
What is the operating resistance of a 30-watt light bulb designed for a 28-volt system?,What is the operating resistance of a 30-watt light bulb designed for a 28-volt system?,1.07 ohms.,26 ohms.,0.93 ohm.,B
"When referencing resistance in a parallel DC circuit, which of the following statements is true?","When referencing resistance in a parallel DC circuit, which of the following statements is true?",The current is equal in all portions of the circuit.,The total current is equal to the sum of the currents through the individual branches of the circuit.,The current in amperes can be found by dividing the source voltage in volts by the sum of the resistors in ohms.,B
Which of the following are commonly used as a rectifier in electrical circuits?,Which of the following are commonly used as a rectifier in electrical circuits?,Diodes and anodes.,Diodes and cathodes.,Diodes.,C
Diodes are used in electrical power supply circuits primarily as,Diodes are used in electrical power supply circuits primarily as,switches.,rectifiers.,relays.,B
Transfer of electric energy from one circuit to another without the aid of electrical connections,Transfer of electric energy from one circuit to another without the aid of electrical connections,is called induction.,is called capacitance.,"can cause excessive arcing and heat, and as a result is practical for use only with low voltages/amperages.",A
"If three resistors of 3 ohms, 5 ohms, and 22 ohms are connected in series in a 28-volt circuit, how much current will flow through the 3-ohm resistor?","When three resistors of 3 ohms, 5 ohms, and 22 ohms are connected in series in a 28-volt circuit, how much current will flow through the 3-ohm resistor?",9.3 amperes.,1.05 amperes.,0.93 ampere.,C
A circuit has an applied voltage of 30 volts and a load consisting of a 10-ohm resistor in series with a 20-ohm resistor. What is the voltage drop across the 10-ohm resistor?,A circuit has an applied voltage of 30 volts and a load consisting of a 10-ohm resistor in series with a 20-ohm resistor. What is the voltage drop across the 10-ohm resistor?,10 volts.,20 volts.,30 volts.,A
(Refer to Figure 11.) Find the total current flowing in the wire between points C and D.,(Refer to Figure 11.) Find the total current flowing in the wire between points C and D.,6.0 amperes.,2.4 amperes.,3.0 amperes.,C
(Refer to Figure 11.) Find the voltage across the 8-ohm resistor.,(Refer to Figure 11.) Find the voltage across the 8-ohm resistor.,8 volts.,20.4 volts.,24 volts.,C
(Refer to Figure 12.) Find the total resistance of the circuit.,(Refer to Figure 12.) Find the total resistance of the circuit.,16 ohms.,2.6 ohms.,21.2 ohms.,C
Which is correct in reference to electrical resistance?,Which is correct in reference to electrical resistance?,Two electrical devices will have the same combined resistance if they are connected in series as they will have if connected in parallel.,"If one of three bulbs in a parallel lighting circuit is removed, the total resistance of the circuit will become greater.",An electrical device that has a high resistance will use more power than one with a low resistance with the same applied voltage.,B
What happens to the current in a voltage step-up transformer with a ratio of 1 to 4?,What happens to the current in a voltage step-up transformer with a ratio of 1 to 4?,The current is stepped down by a 1 to 4 ratio.,The current is stepped up by a 1 to 4 ratio.,The current does not change.,A
(Refer to Figure 13.) Determine the total current flow in the circuit.,(Refer to Figure 13.) Determine the total current flow in the circuit.,0.2 ampere.,1.4 amperes.,0.8 ampere.,B
(Refer to Figure 14.) The total resistance of the circuit is,(Refer to Figure 14.) The total resistance of the circuit is,25 ohms.,35 ohms.,17 ohms.,C
Which of these will cause the resistance of a conductor to decrease?,Which of these will cause the resistance of a conductor to decrease?,Decrease the length or the cross-sectional area.,Decrease the length or increase the cross-sectional area.,Increase the length or decrease the cross-sectional area.,B
Through which material will magnetic lines of force pass the most readily?,Through which material will magnetic lines of force pass the most readily?,Copper.,Iron.,Aluminum.,B
(Refer to Figure 64.) A 48-volt source is required to furnish 192 watts to a parallel circuit consisting of three resistors of equal value. What is the value of each resistor?,(Refer to Figure 64.) A 48-volt source is required to furnish 192 watts to a parallel circuit consisting of three resistors of equal value. What is the value of each resistor?,36 ohms.,4 ohms.,12 ohms.,A
Which is correct concerning a parallel circuit?,Which is correct concerning a parallel circuit?,Total resistance will be smaller than the smallest resistor.,Total resistance will decrease when one of the resistances is removed.,Total voltage drop is the same as the total resistance.,A
The voltage drop in a circuit of known resistance is dependent on,The voltage drop in a circuit of known resistance is dependent on,the voltage of the circuit.,only the resistance of the conductor and does not change with a change in either voltage or amperage.,the amperage of the circuit.,C
"A thermal switch, or thermal protector, as used in an electric motor, is designed to","A thermal switch, or thermal protector, as used in an electric motor, is designed to",close the integral fan circuit to allow cooling of the motor.,open the circuit in order to allow cooling of the motor.,reroute the circuit to ground.,B
"(Refer to Figure 15.) With the landing gear retracted, the red indicator light will not come on if an open occurs in wire","(Refer to Figure 15.) With the landing gear retracted, the red indicator light will not come on if an open occurs in wire",19.,7.,17.,A
(Refer to Figure 15.) Wire 7 is used to,(Refer to Figure 15.) Wire 7 is used to,close the PUSH-TO-TEST circuit.,open the UP indicator light circuit when the landing gear is retracted.,close the UP indicator light circuit when the landing gear is retracted.,A
"(Refer to Figure 15.) When the landing gear is down, the green light will not come on if an open occurs in wire","(Refer to Figure 15.) When the landing gear is down, the green light will not come on if an open occurs in wire",7.,6.,17.,B
(Refer to Figure 16.) What will be the effect if the PCO relay fails to operate when the left-hand tank is selected?,(Refer to Figure 16.) What will be the effect if the PCO relay fails to operate when the left-hand tank is selected?,The fuel pressure crossfeed valve will not open.,The fuel tank crossfeed valve open light will illuminate.,The fuel pressure crossfeed valve open light will not illuminate.,C
(Refer to Figure 16.) The TCO relay will operate if 24-volts DC is applied to the bus and the fuel tank selector is in the,(Refer to Figure 16.) The TCO relay will operate if 24-volts DC is applied to the bus and the fuel tank selector is in the,right-hand tank position.,crossfeed position.,left-hand tank position.,B
"(Refer to Figure 16.) With power to the bus and the fuel selector switched to the right-hand tank, how many relays in the system are operating?","(Refer to Figure 16.) With power to the bus and the fuel selector switched to the right-hand tank, how many relays in the system are operating?",Three.,Two.,Four.,A
"(Refer to Figure 16.) When electrical power is applied to the bus, which relays are energized?","(Refer to Figure 16.) When electrical power is applied to the bus, which relays are energized?",PCC and TCC.,TCC and TCO.,PCO and PCC.,A
"(Refer to Figure 16.) Energize the circuit with the fuel tank selector switch selected to the left-hand position. Using the schematic, identify the switches that will change position.","(Refer to Figure 16.) Energize the circuit with the fuel tank selector switch selected to the left-hand position. Using the schematic, identify the switches that will change position.","5, 9, 10, 11, 12, 13, and 15.","3, 5, 6, 7, 11, and 13.","5, 6, 11, 12, 13, 15, and 16.",C
(Refer to Figure 17.) Which of the components is a potentiometer?,(Refer to Figure 17.) Which of the components is a potentiometer?,5,3,11,B
(Refer to Figure 17.) The electrical symbol represented at number 5 is a variable,(Refer to Figure 17.) The electrical symbol represented at number 5 is a variable,inductor.,resistor.,capacitor.,C
"(Refer to Figure 18.) When the landing gear is up and the throttles are retarded, the warning horn will not sound if an open occurs in wire","(Refer to Figure 18.) When the landing gear is up and the throttles are retarded, the warning horn will not sound if an open occurs in wire",4.,2.,9.,A
(Refer to Figure 18.) The control valve switch must be placed in the neutral position when the landing gear is down to,(Refer to Figure 18.) The control valve switch must be placed in the neutral position when the landing gear is down to,permit the test circuit to operate.,prevent the warning horn from sounding when the throttles are closed.,remove the ground from the green light.,B
(Refer to Figure 19.) Under which condition will a ground be provided for the warning horn through both gear switches when the throttles are closed?,(Refer to Figure 19.) Under which condition will a ground be provided for the warning horn through both gear switches when the throttles are closed?,Right gear up and left gear down.,Both gears up and the control valve out of neutral.,Left gear up and right gear down.,C
"(Refer to Figure 19.) When the throttles are retarded with only the right gear down, the warning horn will not sound if an open occurs in wire","(Refer to Figure 19.) When the throttles are retarded with only the right gear down, the warning horn will not sound if an open occurs in wire",5.,13.,6.,A
"(Refer to Figure 19.) When the landing gears are up and the throttles are retarded, the warning horn will not sound if an open occurs in wire","(Refer to Figure 19.) When the landing gears are up and the throttles are retarded, the warning horn will not sound if an open occurs in wire",5.,7.,6.,C
"When referring to an electrical circuit diagram, what point is considered to be at zero voltage?","When referring to an electrical circuit diagram, what point is considered to be at zero voltage?",The circuit breaker.,The switch.,The ground reference.,C
What is the purpose of the ground symbol used in electrical circuit diagrams?,What is the purpose of the ground symbol used in electrical circuit diagrams?,To show that there is common bus for connection of the source of electrical energy to the load.,To show the source of electrical energy for the load.,To show that there is a return path for the current between the source of electrical energy and the load.,C
(Refer to Figure 20.) Troubleshooting an open circuit with a voltmeter as shown in this circuit will,(Refer to Figure 20.) Troubleshooting an open circuit with a voltmeter as shown in this circuit will,permit current to flow and illuminate the lamp.,create a low resistance path and the current flow will be greater than normal.,permit the battery voltage to appear on the voltmeter.,C
(Refer to Figure 21.) Which symbol represents a variable resistor?,(Refer to Figure 21.) Which symbol represents a variable resistor?,2,1,3,A
"In a P-N-P transistor application, the solid-state device is turned on when the","In a P-N-P transistor application, the solid-state device is turned on when the",base is negative with respect to the emitter.,base is positive with respect to the emitter.,emitter is negative with respect to the base.,A
"In an N-P-N transistor application, the solid-state device is turned on when the","In an N-P-N transistor application, the solid-state device is turned on when the",emitter is positive with respect to the base.,base is negative with respect to the emitter.,base is positive with respect to the emitter.,C
Typical application for zener diodes is as,Typical application for zener diodes is as,full-wave rectifiers.,half-wave rectifiers.,voltage regulators.,C
(Refer to Figure 22.) Which illustration is correct concerning bias application and current (positive charge) flow?,(Refer to Figure 22.) Which illustration is correct concerning bias application and current (positive charge) flow?,1,2,3,A
Forward biasing of a solid-state device will cause the device to,Forward biasing of a solid-state device will cause the device to,conduct via zener breakdown.,conduct.,turn off.,B
"(Refer to Figure 23.) If an open occurs at R(1), the light","(Refer to Figure 23.) When an open occurs at R(1), the light",cannot be turned on.,will not be affected.,cannot be turned off.,C
"(Refer to Figure 23.) If R(2) sticks in the up position, the light will","(Refer to Figure 23.) When R(2) sticks in the up position, the light will",be on full bright.,be very dim.,not illuminate.,A
(Refer to Figure 24.) Which statement concerning the depicted logic gate is true?,(Refer to Figure 24.) Which statement concerning the depicted logic gate is true?,Any input being 1 will produce a 0 output.,Any input being 1 will produce a 1 output.,All inputs must be 1 to produce a 1 output.,B
"(Refer to Figure 25.) In a functional and operating circuit, the depicted logic gate's output will be 0","(Refer to Figure 25.) In a functional and operating circuit, the depicted logic gate's output will be 0",only when all inputs are 0.,when all inputs are 1.,when one or more inputs are 0.,C
(Refer to Figure 26.) Which of the logic gate output conditions is correct with respect to the given inputs?,(Refer to Figure 26.) Which of the logic gate output conditions is correct with respect to the given inputs?,1,2,3,B
A lead-acid battery with 12 cells connected in series (no-load voltage = 2.1 volts per cell) furnishes 10 amperes to a load of 2-ohms resistance. The internal resistance of the battery in this instance is,A lead-acid battery with 12 cells connected in series (no-load voltage = 2.1 volts per cell) furnishes 10 amperes to a load of 2-ohms resistance. The internal resistance of the battery in this instance is,0.52 ohm.,2.52 ohms.,5.0 ohms.,A
"If electrolyte from a lead-acid battery is spilled in the battery compartment, which procedure should be followed?","When electrolyte from a lead-acid battery is spilled in the battery compartment, which procedure should be followed?",Apply boric acid solution to the affected area followed by a water rinse.,Rinse the affected area thoroughly with clean water.,Apply sodium bicarbonate solution to the affected area followed by a water rinse.,C
Which statement regarding the hydrometer reading of a lead-acid storage battery electrolyte is true?,Which statement regarding the hydrometer reading of a lead-acid storage battery electrolyte is true?,The hydrometer reading does not require a temperature correction if the electrolyte temperature is 80__degrees__F.,A specific gravity correction should be added to the hydrometer reading if the electrolyte temperature is below 59__degrees__F.,The hydrometer reading will give a true indication of the capacity of the battery regardless of the electrolyte temperature.,A
A fully charged lead-acid battery will not freeze until extremely low temperatures are reached because,A fully charged lead-acid battery will not freeze until extremely low temperatures are reached because,"the acid is in the plates, thereby increasing the specific gravity of the solution.",most of the acid is in the solution.,increased internal resistance generates sufficient heat to prevent freezing.,B
What determines the amount of current which will flow through a battery while it is being charged by a constant voltage source?,What determines the amount of current which will flow through a battery while it is being charged by a constant voltage source?,The total plate area of the battery.,The state-of-charge of the battery.,The ampere-hour capacity of the battery.,B
"Which of the following statements is/are generally true regarding the charging of several aircraft batteries together?|1. Batteries of different voltages (but similar capacities) can be connected in series with each other across the charger, and charged using the constant current method.|2. Batteries of different ampere-hour capacity and same voltage can be connected in parallel with each other across the charger, and charged using the constant voltage method.|3. Batteries of the same voltage and same ampere-hour capacity must be connected in series with each other across the charger, and charged using the constant current method.","Which of the following statements is/are generally true regarding the charging of several aircraft batteries together?|1. Batteries of different voltages (but similar capacities) can be connected in series with each other across the charger, and charged using the constant current method.|2. Batteries of different ampere-hour capacity and same voltage can be connected in parallel with each other across the charger, and charged using the constant voltage method.|3. Batteries of the same voltage and same ampere-hour capacity must be connected in series with each other across the charger, and charged using the constant current method.",3,2 and 3.,1 and 2.,C
The method used to rapidly charge a nickel-cadmium battery utilizes,The method used to rapidly charge a nickel-cadmium battery utilizes,constant current and constant voltage.,constant current and varying voltage.,constant voltage and varying current.,C
The purpose of providing a space underneath the plates in a lead acid battery's cell container is to,The purpose of providing a space underneath the plates in a lead acid battery's cell container is to,prevent sediment buildup from contacting the plates and causing a short circuit.,allow for convection flow of the electrolyte in order to provide for cooling of the plates.,ensure that the electrolyte quantity ratio to the number of plates and plate area is adequate.,A
Which condition is an indication of improperly torqued cell link connections of a nickel-cadmium battery?,Which condition is an indication of improperly torqued cell link connections of a nickel-cadmium battery?,Light spewing at the cell caps.,Toxic and corrosive deposits of potassium carbonate crystals.,Heat or burn marks on the hardware.,C
The presence of any small amount of potassium carbonate deposits on the top of nickel-cadmium battery cells in service is an indication of,The presence of any small amount of potassium carbonate deposits on the top of nickel-cadmium battery cells in service is an indication of,normal operation.,excessive gassing.,plate sulfation.,A
"What is the likely result, if any, of servicing and charging nickel-cadmium and lead-acid batteries together in the same service area?","What is the likely result, if any, of servicing and charging nickel-cadmium and lead-acid batteries together in the same service area?","The electrolytes in each battery are the same, so there are no significant differences.","The nickel-cadmium would not be affected, but the lead-acid battery could become contaminated.",Contamination of both types of batteries would occur.,C
